learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,5,0.201,0.881,1,0.523468,0
3,10,4,0.215,0.875,1,0.206665,24
3,10,8,0.215,0.875,1,0.690735,38
4,13,7,0.229,0.865,1,0.366119,7
4,13,8,0.229,0.865,1,0.534363,25
5,9,4,0.22,0.871,1,0.107727,37
5,9,6,0.22,0.871,1,0.639923,34
6,19,5,0.22,0.863,1,0.821198,40
6,19,6,0.22,0.863,1,0.246429,10
6,19,8,0.22,0.863,1,0.640808,46
6,19,10,0.22,0.863,1,0.233612,0
6,19,15,0.22,0.863,1,0.640167,44
6,19,16,0.22,0.863,1,0.048676,9
7,8,0,0.209,0.866,1,0.995483,0
7,8,5,0.209,0.866,1,0.242249,44
8,10,1,0.223,0.887,1,0.912842,17
8,10,3,0.223,0.887,1,0.498627,0
8,10,8,0.223,0.887,1,0.866852,40
9,13,1,0.199,0.871,1,0.465363,13
9,13,4,0.199,0.871,1,0.128204,46
9,13,6,0.199,0.871,1,0.486511,7
9,13,7,0.199,0.871,1,0.566895,37
9,13,9,0.199,0.871,1,0.652374,34
9,13,11,0.199,0.871,1,0.02655,47
10,7,3,0.2,0.876,1,0.778076,47
10,7,4,0.2,0.876,1,0.566681,22
11,2,0,0.194,0.867,1,0.530273,41
12,19,1,0.221,0.877,1,0.757904,19
12,19,2,0.221,0.877,1,0.119293,28
12,19,8,0.221,0.877,1,0.364014,25
13,8,1,0.232,0.87,1,0.010132,27
13,8,2,0.232,0.87,1,0.338776,0
13,8,3,0.232,0.87,1,0.247009,33
14,7,0,0.219,0.871,1,0.878601,12
14,7,6,0.219,0.871,1,0.621063,29
15,15,1,0.218,0.879,1,0.03006,47
15,15,2,0.218,0.879,1,0.696014,17
15,15,3,0.218,0.879,1,0.455811,46
15,15,4,0.218,0.879,1,0.791534,7
15,15,8,0.218,0.879,1,0.942566,48
15,15,13,0.218,0.879,1,0.751129,37
15,15,14,0.218,0.879,1,0.259796,32
16,8,2,0.201,0.854,1,0.810028,48
17,16,1,0.22,0.885,1,0.404755,47
17,16,5,0.22,0.885,1,0.400543,13
17,16,9,0.22,0.885,1,0.539703,8
17,16,12,0.22,0.885,1,0.445251,3
18,10,0,0.213,0.871,1,0.210846,4
18,10,2,0.213,0.871,1,0.218842,11
18,10,3,0.213,0.871,1,0.518646,12
18,10,4,0.213,0.871,1,0.206543,41
18,10,8,0.213,0.871,1,0.904022,33
18,10,9,0.213,0.871,1,0.822327,10
20,16,8,0.203,0.875,1,0.876129,12
20,16,11,0.203,0.875,1,0.532135,24
20,16,13,0.203,0.875,1,0.990997,47
20,16,15,0.203,0.875,1,0.067474,7
24,12,7,0.204,0.882,1,0.001831,24
24,12,9,0.204,0.882,1,0.506561,43
24,12,11,0.204,0.882,1,0.847198,11
25,15,0,0.222,0.878,1,0.001556,11
25,15,10,0.222,0.878,1,0.069153,1
26,20,3,0.21,0.877,1,0.758789,36
27,10,6,0.197,0.884,1,0.494873,0
27,10,9,0.197,0.884,1,0.307129,5
28,20,3,0.222,0.858,1,0.080475,5
28,20,4,0.222,0.858,1,0.773193,25
28,20,14,0.222,0.858,1,0.21759,41
28,20,17,0.222,0.858,1,0.960236,29
28,20,19,0.222,0.858,1,0.68811,33
29,20,6,0.225,0.848,1,0.653198,33
29,20,7,0.225,0.848,1,0.474945,15
29,20,8,0.225,0.848,1,0.489197,22
29,20,14,0.225,0.848,1,0.90686,1
30,13,2,0.214,0.883,1,0.865326,1
30,13,6,0.214,0.883,1,0.375397,11
30,13,8,0.214,0.883,1,0.534271,40
30,13,9,0.214,0.883,1,0.276947,30
31,10,0,0.21,0.878,1,0.380707,42
31,10,1,0.21,0.878,1,0.113922,29
31,10,3,0.21,0.878,1,0.906769,5
31,10,6,0.21,0.878,1,0.6586,17
31,10,7,0.21,0.878,1,0.43222,20
32,15,1,0.224,0.892,1,0.723785,15
33,22,6,0.215,0.885,1,0.609528,15
33,22,11,0.215,0.885,1,0.514557,24
33,22,15,0.215,0.885,1,0.333313,5
33,22,21,0.215,0.885,1,0.109985,12
34,3,2,0.204,0.891,1,0.260864,12
35,23,2,0.211,0.883,1,0.046661,5
35,23,3,0.211,0.883,1,0.614777,0
35,23,7,0.211,0.883,1,0.431976,38
35,23,8,0.211,0.883,1,0.667816,37
35,23,10,0.211,0.883,1,0.829956,31
35,23,14,0.211,0.883,1,0.319458,16
35,23,16,0.211,0.883,1,0.380798,35
36,19,1,0.226,0.864,1,0.031677,38
36,19,4,0.226,0.864,1,0.627075,35
36,19,5,0.226,0.864,1,0.617218,3
36,19,6,0.226,0.864,1,0.768707,26
36,19,9,0.226,0.864,1,0.938995,34
36,19,13,0.226,0.864,1,0.6203,4
36,19,15,0.226,0.864,1,0.912201,11
36,19,18,0.226,0.864,1,0.315979,36
38,27,0,0.186,0.87,1,0.386932,12
38,27,1,0.186,0.87,1,0.087708,36
38,27,12,0.186,0.87,1,0.666626,13
38,27,23,0.186,0.87,1,0.390869,31
39,5,3,0.233,0.878,1,0.025879,40
40,16,1,0.217,0.889,1,0.9422,38
40,16,7,0.217,0.889,1,0.579254,16
40,16,12,0.217,0.889,1,0.831329,40
41,17,3,0.222,0.866,1,0.016357,38
41,17,4,0.222,0.866,1,0.936035,35
42,3,0,0.208,0.883,1,0.505249,35
42,3,1,0.208,0.883,1,0.629669,42
43,19,4,0.208,0.866,1,0.475311,42
43,19,6,0.208,0.866,1,0.856659,29
44,18,11,0.229,0.874,1,0.762177,22
44,18,13,0.229,0.874,1,0.60498,33
44,18,14,0.229,0.874,1,0.718842,1
44,18,15,0.229,0.874,1,0.165955,23
45,23,7,0.212,0.857,1,0.639191,43
45,23,13,0.212,0.857,1,0.248627,18
45,23,17,0.212,0.857,1,0.934021,27
45,23,20,0.212,0.857,1,0.67691,3
45,23,21,0.212,0.857,1,0.504578,38
45,23,22,0.212,0.857,1,0.977112,15
